"t","ppi"
1,115.5718197136412
2,111.82369830765066
3,108.15806299701995
4,104.5739466396972
5,101.07038855011683
6,97.6464344813871
7,94.30113660747764
8,91.03355350540701
9,87.84275013743013
10,84.72779783322594
11,81.6877742720848
12,78.72176346509612
13,75.82885573733583
14,73.00814771005398
15,70.25874228286212
16,67.579748615921
17,64.97028211212802
18,62.429464399304706
19,59.956423312384345
20,57.55029287559946
21,55.21021328466932
22,52.93533088898748
23,50.724798173809376
24,48.57777374243973
25,46.493422298420185
26,44.47091462771675
27,42.50942758090744
28,40.60814405536969
29,38.76625297746796
30,36.98294928474115
31,35.25743390809035
32,33.58891375396611
33,31.976601686556137
34,30.419716509972787
35,28.917482950440572
36,27.469131638483674
37,26.073899091113546
38,24.731027694016333
39,23.439765683740532
40,22.19936712988438
41,21.009091917283484
42,19.86820572819832
43,18.775980024501735
44,17.731692029866565
45,16.73462471195296
46,15.784066764596218
47,14.879312589994015
48,14.019662280894153
49,13.204421602781892
50,12.432901976067711
51,11.704420458274626
52,11.018299726225848
53,10.37386805823219
54,9.770459316279783
55,9.207412928217465
56,8.684073869944257
57,8.199792647597093
58,7.75392527973807
59,7.345833279542333
60,6.974883636985226
61,6.640448801030146
62,6.341906661815813
63,6.078640532843991
64,5.8500391331668595
65,5.655496569574666
66,5.494412318783276
67,5.366191209621476
68,5.27024340521875
69,5.205984385192778
70,5.172834927836746
71,5.170221092307173
72,5.197574200811232
73,5.254330820794422
74,5.339932747127847
75,5.4538269842961
76,5.595465728584543
77,5.7643063502668355
78,5.9598113757926825
79,6.181448469975052
80,6.428690418177908
81,6.701015108503711
82,6.99790551398101
83,7.318849674751704
84,7.6633406802588695
85,8.030876651434141
86,8.420960722885383
87,8.833101025083977
88,9.26681066655243
89,9.721607716052063
90,10.197015184770521
91,10.692561008509045
92,11.207778029870141
93,11.742203980445325
94,12.295381463002258
95,12.866857933672676
96,13.456185684139484
97,14.062921823824766
98,14.686628262076837
99,15.326871690358217
100,15.983223564432834
101,16.655260086553625
102,17.34256218765013
103,18.044715509516124
104,18.761310386996826
105,19.491941830176685
106,20.236209506566837
107,20.99371772329272
108,21.764075409281418
109,22.546896097449306
110,23.341797906889553
111,24.14840352505965
112,24.966340189969173
113,25.795239672366733
114,26.634738257928007
115,27.484476729443145
116,28.34410034900432
117,29.213258840193248
118,30.091606370268295
119,30.97880153235286
120,31.874507327622155
121,32.778391147491305
122,33.69012475580203
123,34.609384271011436
124,35.535850148378074
125,36.46920716215092
126,37.40914438775576
127,38.35535518398325
128,39.307537175176606
129,40.265392233418595
130,41.2286264607194
131,42.19695017120432
132,43.1700778733009
133,44.14772825192671
134,45.12962415067659
135,46.115492554010814
136,47.10506456944182
137,48.098075409722355
138,49.094264375032765
139,50.09337483516828
140,51.09515421172705
141,52.09935396029721
142,53.10572955264496
143,54.11404045890123
144,55.124050129750174
145,56.1355259786161
146,57.14823936385096
147,58.16196557092229
148,59.176483794600415
149,60.19157712114628
150,61.20703251049821
151,62.22264077846097
152,63.23819657889106
153,64.25349838588664
154,65.26834847597337
155,66.28255291029262
156,67.29592151678895
157,68.30826787239738
158,69.31940928523119
159,70.32916677676934
160,71.33736506404415
161,72.34383254182859
162,73.34840126482362
163,74.35090692984676
164,75.35118885801813
165,76.3490899769493
166,77.34445680292964
167,78.33713942311482
168,79.3269914777141
169,80.31387014217756
170,81.29763610938329
171,82.27815357182675
172,83.25529020380526
173,84.22891714360861
174,85.19890897570457
175,86.1651437129272
176,87.12750277866445
177,88.08587098904508
178,89.04013653512669
179,89.99019096508363
180,90.93592916639312
181,91.8772493480248
182,92.81405302262664
183,93.74624498871236
184,94.67373331285086
185,95.59642931185186
186,96.51424753495354
187,97.42710574601148
188,98.33492490568466
189,99.23762915362391
190,100.13514579065878
191,101.02740526098597
192,101.91434113435645
193,102.79589008826184
194,103.67199189012427
195,104.54258937948117
196,105.40762845017531
197,106.26705803254077
198,107.12083007559164
199,107.9688995292077
200,108.81122432632407
201,109.64776536511687
202,110.47848649119288
203,111.30335447977433
204,112.12233901788915
205,112.93541268655719
206,113.74255094297683
207,114.54373210271461
208,115.33893732189114
209,116.12815057936933
210,116.91135865894154
211,117.6885511315175
212,118.45972033731147
213,119.22486136803064
214,119.98397204906092
215,120.73705292165602
216,121.48410722512455
217,122.22514087901737
218,122.96016246531491
219,123.6891832106158
220,124.4122169683231
221,125.12928020083274
222,125.84039196171904
223,126.5455738779263
224,127.24485013195209
225,127.93824744403702
226,128.6257950543532
227,129.3075247051873
228,129.98347062313388
229,130.653669501279
230,131.31816048138973
231,131.9769851361005
232,132.6301874510994
233,133.27781380732068
234,133.9199129631259
235,134.55653603649563
236,135.1877364872169
237,135.81357009906816
238,136.4340949620085
239,137.04937145436617
240,137.65946222502163
241,138.2644321756041
242,138.86434844266734
243,139.45928037988716
244,140.04929954024357
245,140.63447965821052
